Dangerous Word,Weight,Prefixes
غش,1,كيف
تغش,2,ازاي
نغش,2,إزاي
اغش,3,أزاي
ذبح ,2,أعمل
تذبح,2,اعمل
نذبح,2,اصنع
اذبح,3,أصنع
أذبح,3,اسوي
إرهاب,2,أسوي
إرهاب,2,شلون
مؤامرة ,1,لي
تفجير,1,اخترع
انفجار,1,اختراع
إنفجار,1,صنع
فجر,2,عمل
تفجر,2,نشر
نفجر,2,توزيع
أفجر,3,وزع
سرقة ,1,تخصيص
اسرق,3,خصص
تسرق,2,تفريق
نسرق,2,فرق
أسرق,3,n/a
قنبلة,2,n/a
رصاص,2,n/a
سم ,2,n/a
نسمم,2,n/a
تسمم,2,n/a
اسمم,3,n/a
أسمم,3,n/a
خطف,2,n/a
نخطف,2,n/a
تخطف,2,n/a
اخطف,3,n/a
أخطف,3,n/a
مسدس,2,n/a
مولوتوف,2,n/a
حشيش,2,n/a
مخدرات,2,n/a
قتل,2,n/a
تقتل,2,n/a
نقتل,2,n/a
اقتل,3,n/a
أقتل,3,n/a
سكين,2,n/a
سككين,2,n/a
اطعن,3,n/a
نطعن,2,n/a
تطعن,2,n/a
أطعن,3,n/a
طعن,2,n/a
سلاح,1,n/a
أسلحة,1,n/a
أضر,3,n/a
تضر,2,n/a
نضر,2,n/a
اضر,3,n/a
ضرر,2,n/a
ضر,2,n/a
مخدر,1,n/a
قنابل,2,n/a
هاك,1,n/a
تهكر,2,n/a
نهكر,2,n/a
اهكر,3,n/a
هكر,3,n/a
مسدسات,2,n/a
